Path_2,p,OR,padj
09101 Carbohydrate metabolism,8.77626007476298e-20,2.70557868982156,1.57972681345734e-18
09102 Energy metabolism,3.24571586798834e-06,1.99114034530266,5.84228856237901e-05
09103 Lipid metabolism,0.459492086863433,1.1765656408128,1
09104 Nucleotide metabolism,0.0959184694183447,1.48620134885224,1
09105 Amino acid metabolism,0.334458447406829,1.14811769871699,1
09106 Metabolism of other amino acids,0.767742005707611,1.06896400129225,1
09107 Glycan biosynthesis and metabolism,0.300922017507939,0.711739139441086,1
09108 Metabolism of cofactors and vitamins,0.549932228372862,1.12058237628455,1
09109 Metabolism of terpenoids and polyketides,1,0.953157282495094,1
09110 Biosynthesis of other secondary metabolites,0.751827223223503,0.857837230419716,1
09111 Xenobiotics biodegradation and metabolism,0.390212275087714,0.789660461519272,1
09121 Transcription,0.245197266058684,2.46924376601173,1
09182 Protein families: genetic information processing,0.000736084487584676,0.681557068328769,0.0132495207765242
09183 Protein families: signaling and cellular processes,3.65578753474612e-09,0.471725322514755,6.58041756254302e-08
09191 Unclassified: metabolism,0.0139207007120746,0.58416642660718,0.250572612817343
09192 Unclassified: genetic information processing,0.2356136083326,0.516058754692842,1
09193 Unclassified: signaling and cellular processes,0.159267037157743,0.495863055785567,1
09194 Poorly characterized,0.00029998292317727,0.245745327768499,0.00539969261719087
