Variable,RCP,median_change,relative_change,p_val,q25_change,q75_change
clim_scd,2.6,-29.4,NA,1.08854624364685e-26,-44,-17.4
clim_scd,4.5,-66.4,NA,1.12553634393908e-27,-99.4,-55
clim_scd,8.5,-82.2,NA,1.12525690235439e-27,-116.8,-69
clim_pr,2.6,3.25999999999999,0.025050916496945,5.60967249956467e-06,-1.64000000000001,8.36
clim_pr,4.5,-2.14,-0.0203533568904593,0.569858158528895,-16.24,11.08
clim_pr,8.5,-2.48,-0.0128469468675653,0.607180040021301,-17.38,15.4
clim_tas,2.6,1.94,0.300671140939597,1.75034274981914e-29,1.42,2.28
clim_tas,4.5,4.42,0.68843537414966,1.75508046311875e-29,3.58,5.3
clim_tas,8.5,5.26,0.840816326530612,1.75086087285301e-29,4.32,6.5
clim_tasmin,2.6,1.72,0.20990099009901,1.74692686168559e-29,1.24,1.98
clim_tasmin,4.5,4.2,0.563313609467456,1.75532286940651e-29,3.36,4.98
clim_tasmin,8.5,4.66,0.601481481481482,1.7571246176435e-29,3.86,5.26
clim_tasmax,2.6,2.04,0.220080321285141,1.75449189715953e-29,1.58,2.46
clim_tasmax,4.5,4.68,0.520547945205479,1.75549603661515e-29,3.86,5.72
clim_tasmax,8.5,5.56,0.63013698630137,1.7571246176435e-29,4.8,6.94
