Variable,Scenario,median_change,q25_change,q75_change,median_relative_change,q25_relative_change,q75_relative_change,p_val
pc_water_temp,126,2.31,1.368,3.349,2.826,1.056,5.628,2.74915582913524e-28
pc_water_temp,370,3.006,2.22,4.012,4.067,1.879,7.331,2.04657091713252e-28
pc_water_temp,585,3.004,2.152,4.009,4.134,1.77,7.717,2.00912037178504e-28
pc_turbidity,126,-10.482,-21.727,-3.939,-0.223,-0.411,-0.115,1.59155004520917e-26
pc_turbidity,370,-18.4,-34.386,-8.02,-0.444,-0.717,-0.316,3.53802344897813e-26
pc_turbidity,585,-21.326,-41.627,-8.875,-0.549,-0.799,-0.345,2.04180321980958e-26
pc_conductivity,126,17.097,4.61,39.353,0.35,0.215,0.673,1.79827483345706e-28
pc_conductivity,370,34.684,9.891,80.762,0.882,0.516,1.307,2.37219800155711e-28
pc_conductivity,585,42.296,11.418,105.091,1.043,0.587,1.493,1.70123829148865e-28
pc_ph,126,-0.077,-0.137,-0.046,-0.011,-0.019,-0.006,1.73280861960961e-28
pc_ph,370,-0.174,-0.339,-0.123,-0.028,-0.042,-0.016,1.70116613407013e-28
pc_ph,585,-0.233,-0.41,-0.143,-0.035,-0.056,-0.02,1.70105790349579e-28
nut_din,126,-1.331,-5.796,-0.348,-0.037,-0.059,-0.015,1.69890696703599e-11
nut_din,370,-5.466,-20.165,-1.244,-0.115,-0.163,-0.052,1.62103324392297e-14
nut_din,585,-5.656,-23.718,-1.451,-0.145,-0.199,-0.062,1.82089837241518e-14
nut_srp,126,-0.189,-0.365,-0.092,-0.059,-0.11,-0.036,8.57052731713634e-28
nut_srp,370,-0.418,-0.936,-0.234,-0.141,-0.273,-0.096,1.73299232003083e-28
nut_srp,585,-0.519,-1.106,-0.289,-0.182,-0.316,-0.112,1.70123829148865e-28
chla,126,0.004,0,0.018,1.068,0.69,2.166,1.70123829148865e-28
chla,370,0.01,0.001,0.065,3.397,1.83,8.522,1.70123829148865e-28
chla,585,0.012,0.001,0.126,4.777,2.211,12.795,1.70123829148865e-28
bacterial_abundance,126,2410796.048,884620.315,5433964.007,0.447,0.293,0.742,1.73299232003083e-28
bacterial_abundance,370,4625518.551,1925547.645,12441549.684,0.885,0.604,1.502,1.70123829148865e-28
bacterial_abundance,585,5384425.417,2258249.177,16226225.159,1.059,0.67,1.821,1.70123829148865e-28
Shannon,126,0.251,0.161,0.407,0.044,0.028,0.072,1.79827483345706e-28
Shannon,370,0.371,0.273,0.518,0.062,0.047,0.089,1.73299232003083e-28
Shannon,585,0.412,0.293,0.543,0.07,0.05,0.096,1.70123829148865e-28
Pielou,126,0.032,0.021,0.053,0.044,0.028,0.072,1.79827483345706e-28
Pielou,370,0.048,0.035,0.067,0.062,0.048,0.089,1.73299232003083e-28
Pielou,585,0.053,0.038,0.07,0.07,0.05,0.096,1.70123829148865e-28
mntd,126,0.001,0.001,0.002,0.015,0.009,0.025,1.97234976728923e-28
mntd,370,0.003,0.002,0.005,0.035,0.022,0.058,1.73299232003083e-28
mntd,585,0.004,0.002,0.006,0.044,0.028,0.07,1.70123829148865e-28
mpd,126,0.068,0.031,0.163,0.012,0.005,0.03,3.3551028086433e-26
mpd,370,0.18,0.098,0.383,0.032,0.017,0.063,5.53751880632188e-27
mpd,585,0.235,0.11,0.489,0.041,0.019,0.08,3.34409985976207e-27
