Variable,stat,p
Predictability,7570.29194029493,0
Predicted_change,7570.29194029493,0
abs_latitude,3930.37331854945,0
elevation,7639.29619940875,0
latitude,10630.1004603417,0
nut_din_predicted,5167.52766207226,0
pc_conductivity_predicted,6263.68213753098,0
pc_ph_predicted,7039.11594763233,0
bioclim_PC1,5892.89540011105,0
bioclim_PC2,1894.386555332,0
chla_predicted,3747.48597251376,0
clim_scd,3533.68093401254,0
clim_pr,1717.95606145965,0
pc_turbidity_predicted,988.858016956273,2.29691308892459e-210
gl_coverage,2091.13744550777,0
longitude,4668.96040839113,0
bioclim_PC6,1062.30925057022,2.97525656162255e-226
min_clays,2882.81042197597,0
min_feldspar,749.358862740499,1.34090617422639e-158
clim_tasmin,1020.70034758096,2.97950532165736e-217
gl_distance,3245.37689920909,0
nut_srp_predicted,1857.76498654313,0
bioclim_PC3,656.718390686028,1.34811510296022e-138
clim_tasmax,1411.87964488258,6.48584139595253e-302
bioclim_PC4,1507.69920412135,1.13635098543487e-322
clim_tas,578.885216564329,8.3515715164558e-122
min_calcite,894.913381003534,4.7254329297569e-190
pc_water_temp_predicted,1654.69973183489,0
slope,531.376205020759,1.45917226316059e-111
gl_area,514.020424449552,8.01924271345942e-108
bioclim_PC5,354.63481241862,1.56098984199139e-73
min_quartz,283.682659839704,2.55736177220509e-58
